CDU_FIELD_NAME,CENSUS_CELLNAME,TOPIC,CATEGORY,TOPIC_DESCRIPTION,
F89723,TT0130842,Unit,People,The unit is for a particular count (e.g. people or households),
F89724,TT0130843,Ethnic group (England and Wales),Asian or Asian British \ Pakistani,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89724,TT0130843,Unit,People,The unit is for a particular count (e.g. people or households),
F89724,TT0130843,Socio-economic Classification (NS-SeC),Class1 (Higher managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89725,TT0130844,Ethnic group (England and Wales),Asian or Asian British \ Bangladeshi,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89725,TT0130844,Socio-economic Classification (NS-SeC),Class1 (Higher managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89725,TT0130844,Unit,People,The unit is for a particular count (e.g. people or households),
F89726,TT0130845,Unit,People,The unit is for a particular count (e.g. people or households),
F89726,TT0130845,Socio-economic Classification (NS-SeC),Class1 (Higher managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89726,TT0130845,Ethnic group (England and Wales),Asian or Asian British \ Other Asian,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89727,TT0130846,Ethnic group (England and Wales),Black or Black British \ Caribbean,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89727,TT0130846,Socio-economic Classification (NS-SeC),Class1 (Higher managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89727,TT0130846,Unit,People,The unit is for a particular count (e.g. people or households),
F89728,TT0130847,Ethnic group (England and Wales),Black or Black British \ African,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89728,TT0130847,Unit,People,The unit is for a particular count (e.g. people or households),
F89728,TT0130847,Socio-economic Classification (NS-SeC),Class1 (Higher managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89729,TT0130848,Ethnic group (England and Wales),Black or Black British \ Other Black,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89729,TT0130848,Socio-economic Classification (NS-SeC),Class1 (Higher managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89729,TT0130848,Unit,People,The unit is for a particular count (e.g. people or households),
F89730,TT0130849,Ethnic group (England and Wales),Chinese or Other Ethnic Group \ Chinese,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89730,TT0130849,Unit,People,The unit is for a particular count (e.g. people or households),
F89730,TT0130849,Socio-economic Classification (NS-SeC),Class1 (Higher managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89731,TT0130850,Ethnic group (England and Wales),Chinese or Other Ethnic Group \ Other Ethnic Group,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89731,TT0130850,Socio-economic Classification (NS-SeC),Class1 (Higher managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89731,TT0130850,Unit,People,The unit is for a particular count (e.g. people or households),
F89767,TT0130886,Ethnic group (England and Wales),White \ British,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89767,TT0130886,Unit,People,The unit is for a particular count (e.g. people or households),
F89767,TT0130886,Socio-economic Classification (NS-SeC),Class 2 (Lower managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89768,TT0130887,Ethnic group (England and Wales),White \ Irish,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89768,TT0130887,Socio-economic Classification (NS-SeC),Class 2 (Lower managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89768,TT0130887,Unit,People,The unit is for a particular count (e.g. people or households),
F89769,TT0130888,Ethnic group (England and Wales),White \ Other White,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89769,TT0130888,Unit,People,The unit is for a particular count (e.g. people or households),
F89769,TT0130888,Socio-economic Classification (NS-SeC),Class 2 (Lower managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89774,TT0130893,Ethnic group (England and Wales),Asian or Asian British \ Indian,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89774,TT0130893,Socio-economic Classification (NS-SeC),Class 2 (Lower managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89774,TT0130893,Unit,People,The unit is for a particular count (e.g. people or households),
F89775,TT0130894,Ethnic group (England and Wales),Asian or Asian British \ Pakistani,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89775,TT0130894,Unit,People,The unit is for a particular count (e.g. people or households),
F89775,TT0130894,Socio-economic Classification (NS-SeC),Class 2 (Lower managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89776,TT0130895,Ethnic group (England and Wales),Asian or Asian British \ Bangladeshi,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89776,TT0130895,Socio-economic Classification (NS-SeC),Class 2 (Lower managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89776,TT0130895,Unit,People,The unit is for a particular count (e.g. people or households),
F89777,TT0130896,Unit,People,The unit is for a particular count (e.g. people or households),
F89777,TT0130896,Ethnic group (England and Wales),Asian or Asian British \ Other Asian,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89777,TT0130896,Socio-economic Classification (NS-SeC),Class 2 (Lower managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89778,TT0130897,Ethnic group (England and Wales),Black or Black British \ Caribbean,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89778,TT0130897,Socio-economic Classification (NS-SeC),Class 2 (Lower managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89778,TT0130897,Unit,People,The unit is for a particular count (e.g. people or households),
F89779,TT0130898,Ethnic group (England and Wales),Black or Black British \ African,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89779,TT0130898,Unit,People,The unit is for a particular count (e.g. people or households),
F89779,TT0130898,Socio-economic Classification (NS-SeC),Class 2 (Lower managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89780,TT0130899,Ethnic group (England and Wales),Black or Black British \ Other Black,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89780,TT0130899,Socio-economic Classification (NS-SeC),Class 2 (Lower managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89780,TT0130899,Unit,People,The unit is for a particular count (e.g. people or households),
F89781,TT0130900,Ethnic group (England and Wales),Chinese or Other Ethnic Group \ Chinese,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89781,TT0130900,Unit,People,The unit is for a particular count (e.g. people or households),
F89781,TT0130900,Socio-economic Classification (NS-SeC),Class 2 (Lower managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89782,TT0130901,Ethnic group (England and Wales),Chinese or Other Ethnic Group \ Other Ethnic Group,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89782,TT0130901,Socio-economic Classification (NS-SeC),Class 2 (Lower managerial and professional occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89782,TT0130901,Unit,People,The unit is for a particular count (e.g. people or households),
F89784,TT0130903,Socio-economic Classification (NS-SeC),Class 3 (Intermediate occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89784,TT0130903,Ethnic group (England and Wales),White \ British,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89784,TT0130903,Unit,People,The unit is for a particular count (e.g. people or households),
F89785,TT0130904,Socio-economic Classification (NS-SeC),Class 3 (Intermediate occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89785,TT0130904,Ethnic group (England and Wales),White \ Irish,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89785,TT0130904,Unit,People,The unit is for a particular count (e.g. people or households),
F89786,TT0130905,Socio-economic Classification (NS-SeC),Class 3 (Intermediate occupations),"The National Statistics Socio-economic Classification (NS-SeC) provides an indication of socio-economic position, based on occupation. It is an Office for National Statistics standard classification. People aged 75 and over are not asked the economic activity questions. They are coded to L17 (code 40)
In England, Wales and Scotland occupation has not been coded for people aged 65 – 74 not working in the week before the Census, nor for people aged 16 – 64 who last worked before 1996. Some of these people will be allocated to L 14.1 (never worked) or L14.2 (long-term unemployed). The remaining people will be coded 39 (occupation not coded).
Note that category L16 'occupation not stated or
inadequately described' is not included in census
tables because missing answers are imputed.",
F89786,TT0130905,Ethnic group (England and Wales),White \ Other White,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89786,TT0130905,Unit,People,The unit is for a particular count (e.g. people or households),
F89791,TT0130910,Ethnic group (England and Wales),Asian or Asian British \ Indian,"This question records each person's perceived ethnic group and cultural background. Although the questions differ between the different parts of the UK, the same detailed codes are used across the UK to code the write-in responses. In standard output the most detailed classification used is 16 groups (England and Wales), 14 groups (Scotland) and 12 groups (Northern Ireland). The full list of categories will be available for commissioned output.",
F89791,TT0130910,Unit,People,The unit is for a particular count (e.g. people or households),
